notice_name,document_number,document_date,organization,url,match_reason
申請者が工場等において行う試験に立ち会い、又は工場等における指定建築材料の製造、検査若しくは品質管理を実地に確認する必要がある場合及びその費用を定める件,国土交通省告示第千百六十四号,2015-12-01,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201706/00006709.pdf,priority_accept_org: 建築指導課
申請者が工場等において行う試験に立ち会い、又は工場等における指定建築材料の製造、検査若しくは品質管理を実地に確認する必要がある場合及びその費用を定める件,国土交通省告示第千百六十四号,2015-12-01,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006579.pdf,priority_accept_org: 建築指導課
建築士事務所の開設者が耐震診断及び耐震改修に係る業務に関して請求することのできる報酬の基準,国土交通省告示第六百七十号,2015-05-25,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006668.pdf,priority_accept_org: 建築指導課
建築基準法第二十七条第一項に規定する特殊建築物の主要構造部の構造方法等を定める件,国土交通省告示第二百五十五号,2015-02-23,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006431.pdf,priority_accept_org: 建築指導課
壁等の構造方法を定める件,国土交通省告示第二百五十号,2015-02-23,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006576.pdf,priority_accept_org: 建築指導課
主要構造部を木造とすることができる大規模の建築物の主要構造部の構造方法を定める件,国土交通省告示第二百五十三号,2015-02-23,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006578.pdf,priority_accept_org: 建築指導課
ひさしその他これに類するものの構造方法を定める件,国土交通省告示第二百五十四号,2015-02-23,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006577.pdf,priority_accept_org: 建築指導課
建築基準法第七条の六第一項第二号の国土交通大臣が定める基準等を定める件,国土交通省告示第二百四十七号,2015-02-23,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006575.pdf,priority_accept_org: 建築指導課
建築基準法施行規則第三条の十三第一項第四号の規定に基づき国土交通大臣が定める者を定める件,国土交通省告示第百七十八号,2015-01-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006572.pdf,priority_accept_org: 建築指導課
建築物の張り間方向又は桁行方向の規模又は構造に基づく保有水平耐力計算と同等以上に安全性を確かめることができる構造計算の基準を定める件,国土交通省告示第百八十九号,2015-01-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006574.pdf,priority_accept_org: 建築指導課
構造計算基準に適合する部分の計画を定める件,国土交通省告示第百八十号,2015-01-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006573.pdf,priority_accept_org: 建築指導課
圧縮ガス又は液化ガスを燃料電池又は内燃機関の燃料として用いる自動車にこれらのガスを充填するための設備の基準を定める件,国土交通省告示第千二百三号,2014-12-26,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006571.pdf,priority_accept_org: 建築指導課
間仕切壁を準耐火構造としないこと等に関して防火上支障がない部分を定める件,国土交通省告示第八百六十号,2014-08-22,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006570.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第十条第七号の国土交通大臣が定める者及び国土交通大臣が定める科目を定める件,国土交通省告示第千百三十号,2013-11-21,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006667.pdf,priority_accept_org: 建築指導課
乗用エレベーター及び寝台用エレベーター以外のエレベーターの制御器について安全上支障がない構造方法を定める件,国土交通省告示第千五十一号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006569.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第二十二条第二号（同規則附則第三条において準用する場合を含む。）の規定に基づき国土交通大臣が定める事項を定める件,国土交通省告示第千五十九号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006661.pdf,priority_accept_org: 建築指導課
乗用エレベーター及び寝台用エレベーター以外のエレベーターの昇降路について安全上支障がない構造方法を定める件,国土交通省告示第千五十号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006568.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第五条第一項第二号（同規則附則第三条において準用する場合を含む。）の規定に基づき国土交通大臣が定める者を定める件,国土交通省告示第千五十七号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006659.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第十条第四号の規定に基づき登録資格者講習に用いる教材の内容として国土交通大臣が定める事項を定める件,国土交通省告示第千五十八号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006660.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第五条第一項第一号（同規則附則第三条において準用する場合を含む。）の規定に基づき国土交通大臣が定める要件,国土交通省告示第千五十六号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006658.pdf,priority_accept_org: 建築指導課
地震その他の震動によって遊戯施設の釣合おもりが脱落するおそれがない構造方法を定める件,国土交通省告示第千四十九号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006567.pdf,priority_accept_org: 建築指導課
エレベーターの地震その他の震動に対する構造耐力上の安全性を確かめるための構造計算の基準を定める件,国土交通省告示第千四十七号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006565.pdf,priority_accept_org: 建築指導課
地震その他の震動によってエレベーターの釣合おもりが脱落するおそれがない構造方法を定める件,国土交通省告示第千四十八号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006566.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第二十三条第一項及び第二項の規定に基づき国土交通大臣が定める額を定める件,国土交通省告示第千六十号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006662.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第三十五条第一項第三号の規定に基づき国土交通大臣が定めるものを定める件,国土交通省告示第千六十三号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006664.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行規則第三十三条第一項第二号及び第二項第二号の規定に基づき国土交通大臣が定める書類を定める件,国土交通省告示第千六十四号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006665.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律第二十二条第二項及び第二十五条第二項の規定に基づき地震に対する安全上耐震関係規定に準ずるものとして定める基準,国土交通省告示第千六十二号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006663.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律施行令附則第二条第一項第一号の規定に基づき国土交通大臣が定める危険物及び国土交通大臣が定める距離を定める件,国土交通省告示第千六十六号,2013-10-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006666.pdf,priority_accept_org: 建築指導課
鉄筋コンクリート造の柱の構造耐力上の安全性を確かめるための構造計算の基準を定める件,国土交通省告示第四百三十三号,2011-04-27,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006564.pdf,priority_accept_org: 建築指導課
エレベーターの駆動装置及び制御器が地震その他の震動によって転倒し又は移動するおそれがない方法を定める件,国土交通省告示第七百三号,2009-07-06,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006563.pdf,priority_accept_org: 建築指導課
滑節構造とした接合部が地震その他の震動によって外れるおそれがない構造方法を定める件,国土交通省告示第六百二十一号,2009-06-08,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006561.pdf,priority_accept_org: 建築指導課
滑車を使用して客席部分を吊る遊戯施設が地震その他の震動によって索が滑車から外れるおそれがない構造方法を定める件,国土交通省告示第六百二十二号,2009-06-08,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006562.pdf,priority_accept_org: 建築指導課
